date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:07	2128/2128	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/e5c27e56a5.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/e5c27e56a5.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:08	858731/858731	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/blad2012.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2012.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:08	871322/871322	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202015-2.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202015-2.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:08	9207/9207	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/bi2012.jpg?etag=%221693d-5c5b0efd%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=143%2B202&extract=0%2B0%2B143%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/bi20122f1b.jpg	(from https://stenungsundsbi.se/about/services.html)
13:18:08	746868/746868	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/blad2009.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2009.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:09	2202/2202	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/86b3438ccc.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/86b3438ccc.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:10	1935637/1935637	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202020_liten.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202020_liten.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:10	4868294/4868294	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202017_till_web.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202017_till_web.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:14	50089/50089	URF---	200	added ('OK%20(cached)')	image/png		https://stenungsundsbi.se/____impro/1/onewebmedia/bibladet%202020.png?etag=W%2F%2271344-5ea27705%22&sourceContentType=image%2Fpng&ignoreAspectRatio&resize=167%2B200&extract=31%2B0%2B136%2B200	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/bibladet%20202076e1.png	(from https://stenungsundsbi.se/about/services.html)
13:18:14	753265/753265	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202014-2.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202014-2.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:14	821194/821194	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/blad2011.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2011.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:14	749122/749122	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/blad2008.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2008.pdf	(from https://stenungsundsbi.se/about/services.html)
